# generated 2017-01-13
#t1	t2	logical	text
HP:0003676	HP:0003680	f	t
HP:0012371	HP:0011800	f	t
HP:0100216	HP:0100221	t	t
HP:0011105	HP:0011106	f	t
HP:0011238	HP:0011239	f	t
HP:0002721	HP:0100326	t	f
HP:0000171	HP:0000158	t	t
HP:0009324	HP:0009329	t	t
HP:0100729	HP:0000274	t	t
HP:0003565	HP:0025022	f	t
HP:0100172	HP:0100177	t	t
HP:0100160	HP:0100165	t	t
HP:0000431	HP:0000446	f	t
HP:0030269	HP:0030353	f	t
HP:0010516	HP:0000778	t	t
HP:0011271	HP:0011272	f	t
HP:0000053	HP:0008734	f	t
HP:0030377	HP:0030378	f	t
HP:0002905	HP:0002148	t	t
HP:0100069	HP:0100074	t	t
HP:0000336	HP:0009891	f	t
HP:0012402	HP:0012403	t	t
HP:0040253	HP:0040254	t	t
HP:0000890	HP:0000894	t	t
HP:0000103	HP:0011037	t	t
HP:0005145	HP:0030882	f	t
HP:0003371	HP:0003090	f	t
HP:0030088	HP:0040171	t	t
HP:0005479	HP:0003212	t	f
HP:0005520	HP:0011880	f	t
HP:0000185	HP:0410005	f	t
HP:0009678	HP:0009683	t	t
HP:0003228	HP:0002902	t	t
HP:0001176	HP:0200055	t	t
HP:0001805	HP:0001816	t	t
HP:0002487	HP:0002375	f	t
HP:0007074	HP:0002079	f	t
HP:0005518	HP:0025066	f	t
HP:0010687	HP:0010681	t	f
HP:0009206	HP:0009211	t	t
HP:0011433	HP:0011434	f	t
HP:0001837	HP:0011308	f	t
HP:0012811	HP:0000418	f	t
HP:0100183	HP:0100188	t	t
HP:0030255	HP:0030256	f	t
HP:0040209	HP:0040208	t	f
HP:0011285	HP:0011284	f	t
HP:0030360	HP:0030357	f	t
HP:0006280	HP:0001735	f	t
HP:0012298	HP:0005819	t	t
HP:0010545	HP:0011477	f	t
HP:0012882	HP:0000059	f	t
HP:0000040	HP:0000054	f	t
HP:0030891	HP:0012794	f	t
HP:0002918	HP:0002917	t	t
HP:0012656	HP:0012655	t	f
HP:0000574	HP:0045074	t	t
HP:0001974	HP:0001882	t	t
HP:0003898	HP:0003900	t	t
HP:0000426	HP:0005280	f	t
HP:0000347	HP:0000303	f	t
HP:0012361	HP:0012360	f	t
HP:0400004	HP:0400005	t	t
HP:0100103	HP:0100108	t	t
HP:0009667	HP:0009672	t	t
HP:0011417	HP:0001196	t	t
HP:0011423	HP:0003113	t	t
HP:0000287	HP:0000292	f	t
HP:0003081	HP:0012364	t	t
HP:0010688	HP:0010682	t	f
HP:0000998	HP:0001006	t	t
HP:0012299	HP:0009882	t	t
HP:0000637	HP:0000581	f	t
HP:0009748	HP:0000385	f	t
HP:0010810	HP:0010812	t	t
