# generated 2017-01-13
#t1	t2	logical	text
MP:0009586	MP:0009549	f	t
MP:0001150	MP:0003609	t	t
MP:0008577	MP:0008578	t	t
MP:0010392	MP:0010393	f	t
MP:0020321	MP:0020322	f	t
MP:0010272	MP:0010271	f	t
MP:0008501	MP:0008497	f	t
MP:0011953	MP:0011954	f	t
MP:0008553	MP:0008554	t	t
MP:0013281	MP:0005079	f	t
MP:0011602	MP:0011603	t	t
MP:0013803	MP:0013804	f	t
MP:0011735	MP:0011736	t	t
MP:0000688	MP:0002223	t	t
MP:0006353	MP:0006352	f	t
MP:0010102	MP:0001539	f	t
MP:0002020	MP:0002052	t	t
MP:0008420	MP:0008421	t	t
MP:0010186	MP:0010187	t	t
MP:0012790	MP:0012789	t	t
MP:0012560	MP:0012559	t	t
MP:0001300	MP:0006197	t	t
MP:0008105	MP:0008106	t	t
MP:0004825	MP:0004826	f	t
MP:0008214	MP:0008215	t	t
MP:0004801	MP:0004802	f	t
MP:0005131	MP:0005130	t	t
MP:0005590	MP:0005591	t	t
MP:0009108	MP:0009109	t	t
MP:0009338	MP:0009339	t	t
MP:0003304	MP:0003306	f	t
MP:0000220	MP:0000223	t	t
MP:0012619	MP:0012618	f	t
MP:0011181	MP:0011182	t	t
MP:0013430	MP:0013429	f	t
MP:0005178	MP:0005179	t	t
MP:0001399	MP:0001402	f	t
MP:0000898	MP:0012090	t	t
MP:0004669	MP:0004670	t	t
MP:0003654	MP:0000103	t	t
MP:0002546	MP:0001320	f	t
MP:0001829	MP:0001830	f	t
MP:0009521	MP:0009520	t	t
MP:0010298	MP:0012425	f	t
MP:0009423	MP:0009424	t	t
MP:0011941	MP:0011942	f	t
MP:0013890	MP:0013889	f	t
MP:0012431	MP:0010268	t	t
MP:0009787	MP:0009786	f	t
MP:0003397	MP:0004232	t	t
MP:0020213	MP:0020212	t	f
MP:0000693	MP:0000694	t	t
MP:0003076	MP:0006059	f	t
MP:0009302	MP:0009303	t	t
MP:0004042	MP:0004041	f	t
MP:0011858	MP:0011857	f	t
MP:0020389	MP:0020388	t	t
MP:0010173	MP:0010174	t	t
MP:0001981	MP:0001982	t	t
MP:0004799	MP:0004800	f	t
MP:0004748	MP:0004766	f	t
MP:0010052	MP:0010053	f	t
MP:0004634	MP:0004638	t	f
MP:0010162	MP:0010161	t	t
MP:0008596	MP:0008597	t	t
MP:0011700	MP:0011701	f	t
MP:0012210	MP:0012209	f	t
MP:0008693	MP:0008694	t	t
MP:0001678	MP:0001679	t	t
MP:0006067	MP:0006066	f	t
MP:0003459	MP:0003460	t	t
MP:0008681	MP:0008682	t	t
MP:0006042	MP:0006043	t	t
MP:0008560	MP:0008561	t	t
MP:0012381	MP:0012380	f	t
MP:0001329	MP:0002984	t	t
MP:0012393	MP:0012392	t	t
MP:0010064	MP:0010065	t	t
MP:0012284	MP:0012283	f	t
MP:0012065	MP:0012066	t	t
MP:0003820	MP:0003822	t	t
MP:0003290	MP:0003291	t	f
MP:0004878	MP:0004879	f	t
MP:0011085	MP:0011086	f	t
MP:0004866	MP:0004867	t	t
MP:0004831	MP:0004830	t	t
MP:0012802	MP:0012801	t	t
MP:0002962	MP:0002963	t	t
MP:0005600	MP:0005140	f	t
MP:0012814	MP:0012813	t	t
MP:0009880	MP:0009881	t	t
MP:0001219	MP:0001218	t	t
MP:0020110	MP:0020111	f	t
MP:0009541	MP:0009542	t	t
MP:0005505	MP:0003179	t	t
MP:0013022	MP:0013023	f	t
MP:0003979	MP:0003978	t	t
MP:0020002	MP:0020001	f	t
MP:0020014	MP:0020013	f	t
MP:0005617	MP:0005616	t	t
MP:0011459	MP:0011460	t	t
MP:0009336	MP:0009335	t	t
MP:0004065	MP:0004064	f	t
MP:0011628	MP:0011629	t	t
MP:0006308	MP:0001153	t	t
MP:0011810	MP:0011811	t	t
MP:0001994	MP:0001995	t	t
MP:0008870	MP:0002682	f	t
MP:0011822	MP:0011823	t	t
MP:0011847	MP:0011846	t	t
MP:0003992	MP:0003010	f	t
MP:0008776	MP:0010756	f	t
MP:0010219	MP:0010220	t	t
MP:0008353	MP:0008354	t	t
MP:0005339	MP:0005341	t	t
MP:0020025	MP:0020023	f	t
MP:0012151	MP:0012152	f	t
MP:0005292	MP:0005293	f	t
MP:0010087	MP:0010088	t	t
MP:0008136	MP:0008135	t	t
MP:0003181	MP:0003182	t	t
MP:0004988	MP:0004989	t	t
MP:0003060	MP:0003061	f	t
MP:0011195	MP:0011196	t	t
MP:0003331	MP:0010265	t	f
MP:0012705	MP:0012706	f	t
MP:0004735	MP:0004734	t	t
MP:0012717	MP:0012718	t	t
MP:0010932	MP:0010933	f	t
MP:0004855	MP:0004856	t	t
MP:0001128	MP:0005158	t	t
MP:0008908	MP:0008907	t	t
MP:0011993	MP:0012561	f	t
MP:0002646	MP:0002647	t	t
MP:0004952	MP:0004953	t	t
MP:0000434	MP:0000433	t	t
MP:0010835	MP:0010836	t	t
MP:0002852	MP:0002853	t	t
MP:0000446	MP:0000445	t	t
MP:0010847	MP:0010848	t	t
MP:0005088	MP:0005087	t	t
MP:0001973	MP:0003998	t	t
MP:0003598	MP:0003124	f	t
MP:0012672	MP:0004549	t	t
MP:0009300	MP:0009301	t	t
MP:0012339	MP:0004119	f	t
MP:0010773	MP:0006400	t	t
MP:0009421	MP:0009422	t	t
MP:0003408	MP:0003409	f	t
MP:0013154	MP:0013155	f	t
MP:0020037	MP:0020036	f	t
MP:0003517	MP:0003518	t	t
MP:0012188	MP:0012189	t	t
MP:0005619	MP:0005618	t	t
MP:0011605	MP:0011606	t	t
MP:0020257	MP:0020258	f	t
MP:0020028	MP:0020027	f	t
MP:0014029	MP:0014028	t	t
MP:0005606	MP:0005607	t	t
MP:0010892	MP:0000954	f	t
MP:0006056	MP:0006057	t	t
MP:0003625	MP:0003626	t	t
MP:0013386	MP:0013388	t	t
MP:0004051	MP:0004052	f	t
MP:0008534	MP:0013910	t	t
MP:0008562	MP:0008563	t	t
MP:0011714	MP:0011715	t	t
MP:0010288	MP:0012416	f	t
MP:0010287	MP:0012417	f	t
MP:0009399	MP:0009400	f	t
MP:0012660	MP:0012659	f	t
MP:0010357	MP:0012432	f	t
MP:0012110	MP:0000379	f	t
MP:0005281	MP:0005282	t	t
MP:0012371	MP:0012370	t	t
MP:0008236	MP:0008235	f	t
MP:0002036	MP:0012414	f	t
MP:0003070	MP:0003071	t	t
MP:0008126	MP:0008127	t	t
MP:0003192	MP:0003193	t	t
MP:0008006	MP:0008005	t	t
MP:0004977	MP:0004978	t	t
MP:0013157	MP:0013158	f	t
MP:0013279	MP:0013278	f	t
MP:0003893	MP:0004001	t	t
MP:0005186	MP:0005185	t	t
MP:0010810	MP:0010811	t	t
MP:0000562	MP:0000565	t	t
MP:0010967	MP:0010968	t	t
MP:0020089	MP:0020090	f	t
